channel,m1,c1,m2,c2,sideslip,vw,middle_alpha
C_D,0.00014933548660807486,0.8624346693801846,0.0013457184249801636,0.8582473290958823,-20.0,20.0,3.5
C_S,-3.7555476054831754e-05,0.247734761928691,1.984517173606005e-05,0.2475338596614229,-20.0,20.0,3.5
C_roll,0.004795349541564774,-0.018392537111371506,0.00579560262389909,-0.021893422899541614,-20.0,20.0,3.5
C_pitch,-0.022621791699757927,-1.2281663056292034,-0.024768243663543604,-1.2206537237559536,-20.0,20.0,3.5
C_yaw,0.005147035004144033,1.0686690885372778,0.002635182401535244,1.0774605726464086,-20.0,20.0,3.5
C_L,0.0008382776823753899,0.19454957920531343,0.0007769808467964314,0.1947641181298398,-20.0,25.0,3.5
C_D,0.0004834166414956188,0.8630939534046903,0.0011667254598125975,0.8607023725405809,-20.0,25.0,3.5
C_S,0.00011066110057485245,0.2497013505029014,-0.00012200848893745641,0.2505156940661945,-20.0,25.0,3.5
C_roll,0.005382234250728356,-0.010122334278163447,0.00548932734040177,-0.010497160092020393,-20.0,25.0,3.5
C_pitch,-0.023780485779273386,-1.2068558212767595,-0.024379661936972413,-1.204758704724813,-20.0,25.0,3.5
C_yaw,0.005542090728688208,1.0708260975168444,0.0022790153790192575,1.0822468612406857,-20.0,25.0,3.5
C_L,0.0032942367429039457,0.2148567254181499,0.0025188407772985277,0.21757061129776886,-14.0,5.0,3.5
C_D,0.0008238208964218015,0.775496745910173,0.0019147502148230216,0.7716784932957688,-14.0,5.0,3.5
C_S,0.00037260355145823416,0.2411931249259384,0.0011960299810320368,0.23831113242243007,-14.0,5.0,3.5
C_roll,0.003585922181357291,0.1164160777809527,0.008117657899650526,0.10055500276692637,-14.0,5.0,3.5
C_pitch,-0.027496283589054184,-1.2219048219138648,-0.028402282160865364,-1.2187338269125259,-14.0,5.0,3.5
C_yaw,0.004905166579091447,0.9221117288053705,0.00506163999981467,0.9215640718328392,-14.0,5.0,3.5
C_L,0.0008924298344315962,0.204192078808797,0.0020720764047819132,0.2000633158125709,-14.0,10.0,3.5
C_D,0.00020874746240667346,0.7765059910151955,0.001571388308141468,0.7717367480551237,-14.0,10.0,3.5
C_S,-6.542949499526366e-05,0.16636211750347252,0.0009001617352575778,0.16298254819758756,-14.0,10.0,3.5
C_roll,0.0030551850680925184,-0.018416554014080315,0.0047227164816878026,-0.02425291396166381,-14.0,10.0,3.5
C_pitch,-0.021453345446111705,-1.1862950110498682,-0.026935589349384555,-1.1671071573884133,-14.0,10.0,3.5
C_yaw,0.003239747514386264,0.7565466873358637,0.0038318183778382592,0.7544744393137817,-14.0,10.0,3.5
C_L,0.00045560414834635817,0.20182977402949506,0.001571844051605993,0.19792293436808633,-14.0,15.0,3.5
C_D,-0.00041542168104343277,0.7694439024323444,0.0013311768623090988,0.7633308075306106,-14.0,15.0,3.5
C_S,0.0004822096091417246,0.15143014871217117,0.0003771446802374496,0.15179787596333613,-14.0,15.0,3.5
C_roll,0.0038837278341355913,-0.04166024329422307,0.0037372898887948155,-0.041147710485530356,-14.0,15.0,3.5
C_pitch,-0.019663134629267817,-1.1708217897466642,-0.024566328162961053,-1.1536606123787378,-14.0,15.0,3.5
C_yaw,0.0037912877217058873,0.718462855882198,0.0024989059453055787,0.7229861920995991,-14.0,15.0,3.5
C_L,0.0006681994888454135,0.19781052311049055,0.000739932949074392,0.19755945599968913,-14.0,20.0,3.5
C_D,-0.00020167307091562006,0.7612617571586028,0.0009061802581821338,0.7573842705067606,-14.0,20.0,3.5
C_S,0.00025430478374904305,0.15078620415555175,0.00032864292927834257,0.1505260206461992,-14.0,20.0,3.5
C_roll,0.003345455910535342,-0.04042427257584459,0.004163814725158496,-0.04328852842702563,-14.0,20.0,3.5
C_pitch,-0.020381644526346672,-1.142610042595807,-0.02147051375369437,-1.13879900030009,-14.0,20.0,3.5
C_yaw,0.0035596302689192482,0.7110511938126048,0.0020321687993797716,0.716397308955993,-14.0,20.0,3.5
C_L,0.0009539433853822958,0.19805925114684916,0.000818570211526551,0.19853305725534426,-14.0,25.0,3.5
C_D,0.0009663658977506424,0.7671666633237919,0.00034723748725649445,0.7693336127605214,-14.0,25.0,3.5
