sideslip,C_L,C_S,C_D,C_roll,C_pitch,C_yaw,Rey,vw,aoa_kite,C_L_std,C_S_std,C_D_std,C_roll_std,C_pitch_std,C_yaw_std,aoa
12.0,0.18956806635846543,-0.18815769483771533,0.7744093871586442,-0.0713181356240793,-1.0064656718969092,-0.739511721034408,138957.4575453743,5.0,-11.3,0.6823997607880731,0.07876519271338496,0.12815046909218242,0.37381059604482275,1.672843477081236,0.21567848251370647,-12.2
14.0,0.18456247543597173,-0.23888676123675143,0.805488684220285,-0.09916230789219757,-1.0038138136166368,-0.8837650498524161,139119.77736200287,5.0,-11.3,0.7050637709737224,0.07823547281895146,0.11158967293430147,0.4379270225159476,1.715564128688217,0.19328363290784226,-12.2
20.0,0.19899973598456125,-0.38023559701007703,0.9291787166888323,-0.15443721684612785,-1.1378248577220638,-1.3284874022801951,139119.77736200287,5.0,-11.3,0.6985999812690008,0.09024421756066478,0.1330937257208897,0.602322636490536,1.6528931142292007,0.23654279851431254,-12.2
-20.0,0.2003471545892317,0.27013990904607993,0.8765830043306518,-0.05709276678955324,-1.0071752760521646,1.0696842929627743,279206.6061168748,10.0,-11.3,0.22389414186378231,0.08396555160306203,0.10681096317276347,0.28074066640038214,0.5237240246516975,0.20164800257908794,-12.2
-14.0,0.19410762167972007,0.16710147079691903,0.7741471446900005,-0.05294014528352586,-0.943872207508806,0.7199375404232992,279485.25542437664,10.0,-11.3,0.22272834869357713,0.060119749871536246,0.09575329948740599,0.2040507475627899,0.5352769148966933,0.14350726275131748,-12.2
-12.0,0.18867800196704196,0.12281638677109764,0.744226484795698,-0.06271031274865826,-0.9245227825033182,0.5949185379549743,279485.25542437664,10.0,-11.3,0.21896077044666348,0.06017312227704745,0.08809596528467492,0.18694770501979904,0.5310743414547305,0.14311200400695617,-12.2
-10.0,0.18539165470633492,0.0839776068506472,0.7159479730666578,-0.06446355253252395,-0.9115632769400922,0.4829385888931148,279506.8339927725,10.0,-11.3,0.2211249553783447,0.061367534624583296,0.07783392895668582,0.17911018576010915,0.5398863377173154,0.14574824135466882,-12.2
-8.0,0.1818265191557414,0.06189141995464208,0.690859709685291,-0.04209589341089256,-0.9017205778602823,0.4021956783860212,279228.1631712444,10.0,-11.3,0.21857518654283728,0.06289927315802907,0.07007601872045892,0.17741300531955692,0.5368997668278865,0.1519066506784764,-12.2
-6.0,0.19115867177496934,0.06772162141652444,0.66685794785054,-0.01248769708620925,-0.9212791622152466,0.3506840191491451,279272.15151250985,10.0,-11.3,0.22645948556886325,0.07837156703391586,0.08518846907257344,0.1774695020023022,0.558466268386365,0.17428866271723978,-12.2
-4.0,0.1917689089555136,0.0697992601968998,0.6467473783342795,0.0029157651041199673,-0.9126706335915935,0.29179147818062595,279272.15151250985,10.0,-11.3,0.2263902618420986,0.08738256903031534,0.10958233176256807,0.18810432887844702,0.5610443660799342,0.19524169185414902,-12.2
-2.0,0.19604708320947217,0.05015916366616265,0.63517462036068,0.003680369037605895,-0.9187906775761808,0.18216460080044816,279272.15151250985,10.0,-11.3,0.22121115971458094,0.10039998454293739,0.10149859744267892,0.2399459729196583,0.553776304093158,0.24250768248500484,-12.2
-0.0,0.19967055601089634,0.00919261823854415,0.6282540452456297,-0.004602457371609376,-0.9227145511891393,0.01765347644888572,279293.7126992058,10.0,-11.3,0.2236869984237164,0.09319811138938071,0.11484653422378531,0.2123265308901976,0.5682958612720178,0.22538481277194114,-12.2
2.0,0.19659599320713825,-0.02673199615291383,0.6328539441063148,-0.010537158140322755,-0.9203117751079887,-0.13183735200261942,279572.1710368919,10.0,-11.3,0.2198686853914806,0.09136835466367536,0.08110056397764717,0.20828280887323683,0.5490949686149021,0.2182369666741601,-12.2
4.0,0.1894695861979294,-0.04611479891363,0.6435261347303662,-0.016495968084844725,-0.9159706593487512,-0.2399175774997448,279293.7126992058,10.0,-11.3,0.21926043229222247,0.09510451357345201,0.1028947234168022,0.19088393711720242,0.547945384411503,0.21122431383169757,-12.2
